Target,Common name,RA,Dec,Parallax,Parallax Error,V,H,K,Observation date 1,NEXP NDIT NDIT,Seeing,Airmass,$\tau_0$,Observation date 2
(2MASS ID),,hh:mm:ss,DD:MM:SS,mas,mas,mag,mag,mag,(yyyy-mm-dd),(1x1xs),(''),,(ms),
2MASSJ12391404-5454469,ASAS J123911-5454.9,12:39:14,-54:54:47,9.2921,0.0205,11.94,8.907,8.773,2019-01-03,,,,,2019-01-12
2MASSJ12393796-5731406,CD-56  4581,12:39:37.9543414320,-57:31:41,8.8611,0.0133,10.272,8.239,8.133,2017-06-17,,,,,
2MASSJ12404664-5211046,CD-51  6900,12:40:46.6321070544,-52:11:05,6.8588,0.085,11.66,9.441,9.28,2018-04-30,,,,,
2MASSJ12405458-5031550,TYC 8240-182-1,12:40:54.5837961888,-50:31:55,11.2799,0.0272,11.48,8.844,8.724,2018-12-30,,,,,
2MASSJ12442412-5855216,CD-58  4463,12:44:24,-58:55:22,9.1305,0.0284,10.25,7.72,7.572,2017-06-17,,,,,
2MASSJ12454884-5410583,ASAS J124547-5411.0,12:45:48.8341396848,-54:10:59,9.0285,0.0214,11.424,8.893,8.735,2018-04-30,,,,,
2MASSJ12472196-6808397,TYC 9228-1355-1,12:47:21.9565581816,-68:08:40,9.6114,0.012,10.88,8.179,8.03,2019-01-14,,,,,
2MASSJ12480778-4439167,HD 111227,12:48:07.7926675992,-44:39:17,6.6057,0.1968,9.844,7.672,7.513,2017-06-17,,,,,
2MASSJ12483152-5944493,1RXS J124830.1-594449,12:48:31.5346678536,-59:44:49,10.7685,0.0982,11.061,7.684,7.483,2018-06-05,,,,,
2MASSJ12505143-5156353,V* V1257 Cen,12:50:51.4373973336,-51:56:35,9.1631,0.0227,11.68,8.708,8.63,2019-01-12,,,,,
2MASSJ12510556-5253121,UCAC4 186-087394,12:51:05.5672542240,-52:53:12,8.7225,0.0176,12.088,8.976,8.804,2019-01-08,,,,,
2MASSJ12560830-6926539,1RXS J125608.8-692652,12:56:08.3082110592,-69:26:54,10.0585,0.2041,11.831,8.25,7.99,2019-01-08,,,,,
2MASSJ12582559-7028490,CD-69  1055,12:58:25.5840183960,-70:28:49,10.512,0.0118,9.992,7.702,7.545,2017-06-17,,,,,
2MASSJ13015069-5304581,CPD-52  6110,13:01:50.6980984080,-53:04:58,8.5147,0.0153,11.08,8.931,8.787,2019-01-08,,,,,
2MASSJ13015435-4249422,1RXS J130154.9-424951,13:01:54.3650846040,-42:49:42,8.1379,0.0354,11.34,9.206,9.095,2019-01-13,,,,,
2MASSJ13032904-4723160,RX J130329.7-472326,13:03:28.9931446176,-47:23:16,~,~,11.68,8.552,8.379,,,,,,
2MASSJ13055087-5304181,ASAS J130550-5304.2,13:05:50.8729856736,-53:04:18,8.7596,0.0136,12.57,9.448,9.27,2018-06-11,,,,,2018-07-04
2MASSJ13064012-5159386,CD-51  7268,13:06:40,-51:59:39,8.7234,0.0154,10.53,8.44,8.274,2018-04-30,,,,,
2MASSJ13065439-4541313,2MASS J13065439-4541313,13:06:54.3958785528,-45:41:31,8.9652,0.0203,12.03,8.642,8.506,2018-04-08,,,,,
2MASSJ13095880-4527388,UCAC2  12444765,13:09:58.8107850552,-45:27:39,7.946,0.0153,11.021,8.671,8.537,2018-05-01,,,,,
2MASSJ13103245-4817036,ASAS J131033-4816.9,13:10:32.4502483320,-48:17:04,9.7493,0.0171,11.58,8.76,8.596,2018-05-01,,,,,
2MASSJ13121764-5508258,2MASS J13121764-5508258,13:12:18,-55:08:26,9.91,0.26,11.96,8.806,8.655,2017-08-31,,,,,2018-05-15
2MASSJ13130714-4537438,CD-45  8499,13:13:07,-45:37:44,7.3422,0.5888,11.44,8.52,8.33,2017-07-05,,,,,
2MASSJ13174687-4456534,UNSW-V 514,13:17:46.8702021408,-44:56:54,8.4254,0.0275,~,8.954,8.833,2018-05-28,,,,,
2MASSJ13233587-4718467,ASAS J132336-4718.7,13:23:35.8785763368,-47:18:47,7.7109,0.0935,11.236,8.403,8.312,2017-04-02,,,,,2019-04-07
2MASSJ13251211-6456207,TYC 8998-760-1,13:25:12,-64:56:21,10.6124,0.0116,11.12,8.562,8.392,2017-07-05,,,,,2019-03-17
2MASSJ13334410-6359345,2MASS J13334410-6359345,13:33:44,-63:59:34,8.9825,0.0128,11.45,8.708,8.59,2017-07-05,,,,,
2MASSJ13335481-6536414,IRAS 13303-6521,13:33:54.8197810512,-65:36:42,9.7278,0.0105,11.193,8.04,7.81,2018-04-30,,,,,2020-02-16
2MASSJ13343188-4209305,CD-41  7947,13:34:31.8880438128,-42:09:31,10.7907,0.0145,10.7,8.28,8.093,2017-04-02,,,,,
2MASSJ13354082-4818124,TYC 8265-229-1,13:35:40.8282663336,-48:18:12,10.5649,0.0183,11.2,8.652,8.505,2017-04-02,,,,,
2MASSJ13380596-4344564,TYC 7800-858-1,13:38:05.9592274080,-43:44:56,7.9495,0.0195,11.13,8.672,8.54,2017-04-02,,,,,
2MASSJ13381128-5214251,TYC 8273-917-1,13:38:11.2753496208,-52:14:25,7.3632,0.0203,10.83,8.797,8.696,2017-07-05,,,,,2019-03-12
2MASSJ13444279-6347495,1RXS J134442.5-634758,13:44:42.7967106480,-63:47:49,10.1091,0.032,10.969,7.888,7.739,2017-07-05,,,,,
2MASSJ13455599-5222255,CD-51  7721,13:45:55.9903913472,-52:22:25,8.5604,0.016,11.235,8.725,8.592,2018-04-28,,,,,
